Scopus-2053-Analyze-Year

"Your query : (TITLE-ABS-KEY ( ""rapid review"" OR ""rapid evidence review"" OR ""rapid literature review"" OR ""Rapid Systematic Evidence Review"" OR ""Accelerated Review"" OR ""Brief Review"" OR ""Rapid Scoping Review"" OR ""Rapid Effectiveness Review"" OR ""Evidence Based Practice Review"" OR ""Restricted Review"" OR ""Rapid Response Report"" OR ""Rapid Evidence Assessment"") AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""ENVI"" ) ) )"


Number of results : 2053

"YEAR",
"2022","12"
"2021","142"
"2020","101"
"2019","79"
"2018","89"
"2017","70"
"2016","56"
"2015","46"
"2014","63"
"2013","62"
"2012","40"
"2011","51"
"2010","45"
"2009","42"
"2008","41"
"2007","35"
"2006","41"
"2005","29"
"2004","22"
"2003","26"
"2002","26"
"2001","35"
"2000","45"
"1999","26"
"1998","38"
"1997","32"
"1996","44"
"1995","29"
"1994","30"
"1993","36"
"1992","34"
"1991","39"
"1990","33"
"1989","37"
"1988","32"
"1987","36"
"1986","34"
"1985","33"
"1984","30"
"1983","36"
"1982","38"
"1981","22"
"1980","27"
"1979","26"
"1978","20"
"1977","15"
"1976","10"
"1975","23"
"1974","14"
"1973","15"
"1972","9"
"1971","3"
"1970","5"
"1969","3"
"1968","4"
"1967","9"
"1965","6"
"1964","2"
"1963","2"
"1962","5"
"1961","1"
"1960","2"
"1959","2"
"1957","1"
"1956","3"
"1950","1"
"1941","1"
"1939","1"
"1934","1"
"1926","2"
"1925","1"
"1919","1"
"1916","1"
