ï»¿Scopus-660-Analyze-Year,
,
"Your query : (TITLE-ABS-KEY ( ""rapid review"" OR ""rapid evidence review"" ) AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) ) )",
,
,
Number of results : 867,
,
YEAR,
2020,318
2019,102
2018,92
2017,68
2016,42
2015,37
2014,26
2013,17
2012,16
2011,13
2010,6
2009,9
2008,7
2007,6
2006,14
2005,3
2004,9
2003,8
2002,3
2001,4
2000,3
1999,4
1998,7
1997,8
1996,4
1995,1
1994,3
1993,2
1992,1
1991,2
1990,1
1988,2
1986,1
1984,2
1983,1
1982,1
1981,3
1980,1
1979,1
1977,2
1976,2
1975,2
1974,1
1972,1
1960,2
1957,1
