Scopus-19281-Analyze-Year

"Your query : (TITLE-ABS-KEY ( ""rapid review"" OR ""rapid evidence review"" OR ""rapid literature review"" OR ""Rapid Systematic Evidence Review"" OR ""Accelerated Review"" OR ""Brief Review"" OR ""Rapid Scoping Review"" OR ""Rapid Effectiveness Review"" OR ""Evidence Based Practice Review"" OR ""Restricted Review"" OR ""Rapid Response Report"" OR ""Rapid Evidence Assessment"") AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) ) )"


Number of results : 19281

"YEAR",
"2022","92"
"2021","1142"
"2020","1001"
"2019","703"
"2018","660"
"2017","637"
"2016","629"
"2015","597"
"2014","588"
"2013","596"
"2012","633"
"2011","593"
"2010","505"
"2009","503"
"2008","519"
"2007","458"
"2006","446"
"2005","424"
"2004","390"
"2003","349"
"2002","328"
"2001","393"
"2000","318"
"1999","297"
"1998","290"
"1997","301"
"1996","281"
"1995","260"
"1994","225"
"1993","217"
"1992","189"
"1991","214"
"1990","229"
"1989","220"
"1988","163"
"1987","144"
"1986","131"
"1985","176"
"1984","178"
"1983","148"
"1982","151"
"1981","171"
"1980","214"
"1979","210"
"1978","190"
"1977","202"
"1976","184"
"1975","189"
"1974","222"
"1973","199"
"1972","73"
"1971","53"
"1970","49"
"1969","43"
"1968","46"
"1967","55"
"1966","40"
"1965","54"
"1964","48"
"1963","33"
"1962","31"
"1961","41"
"1960","39"
"1959","41"
"1958","36"
"1957","36"
"1956","38"
"1955","30"
"1954","27"
"1953","31"
"1952","42"
"1951","36"
"1950","31"
"1949","25"
"1948","17"
"1947","21"
"1946","14"
"1945","16"
"1944","8"
"1943","4"
"1942","14"
"1941","12"
"1940","10"
"1939","6"
"1938","7"
"1937","7"
"1936","6"
"1935","7"
"1934","3"
"1933","3"
"1932","9"
"1931","3"
"1930","2"
"1929","3"
"1928","4"
"1926","1"
"1925","2"
"1924","1"
"1923","3"
"1922","4"
"1920","2"
"1916","1"
"1912","1"
"1910","1"
"1902","1"
"1900","5"
"1894","1"
"1893","1"
"1889","1"
"1888","1"
"1885","1"
"1859","1"
