Scopus-3185-Analyze-Year

"Your query : (TITLE-ABS-KEY ( ""rapid review"" OR ""rapid evidence review"" OR ""rapid literature review"" OR ""Rapid Systematic Evidence Review"" OR ""Accelerated Review"" OR ""Brief Review"" OR ""Rapid Scoping Review"" OR ""Rapid Effectiveness Review"" OR ""Evidence Based Practice Review"" OR ""Restricted Review"" OR ""Rapid Response Report"" OR ""Rapid Evidence Assessment"") AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""SOCI"" ) ) )"


Number of results : 3185

"YEAR",
"2022","12"
"2021","237"
"2020","174"
"2019","157"
"2018","137"
"2017","145"
"2016","125"
"2015","126"
"2014","95"
"2013","122"
"2012","92"
"2011","91"
"2010","109"
"2009","108"
"2008","81"
"2007","91"
"2006","79"
"2005","78"
"2004","50"
"2003","51"
"2002","70"
"2001","52"
"2000","60"
"1999","61"
"1998","51"
"1997","54"
"1996","46"
"1995","54"
"1994","34"
"1993","35"
"1992","32"
"1991","36"
"1990","30"
"1989","44"
"1988","38"
"1987","23"
"1986","30"
"1985","33"
"1984","28"
"1983","20"
"1982","23"
"1981","20"
"1980","18"
"1979","15"
"1978","14"
"1977","11"
"1976","10"
"1975","7"
"1974","6"
"1973","5"
"1972","9"
"1971","7"
"1970","4"
"1969","1"
"1968","3"
"1967","2"
"1966","5"
"1964","1"
"1963","2"
"1962","1"
"1960","1"
"1959","1"
"1958","1"
"1957","2"
"1955","1"
"1954","1"
"1950","1"
"1948","1"
"1947","1"
"1946","2"
"1940","1"
"1935","1"
"1934","2"
"1933","2"
"1932","3"
"1927","2"
"1926","3"
"1923","2"
"1922","1"
"1920","1"
