ï»¿Scopus-4393-Analyze-Year,
,
"Your query : (TITLE-ABS-KEY ( ""systematic review"" OR ""systematic evidence review"" ) AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""ENVI"" ) ) )",
,
,
Number of results : 5198,
,
YEAR,
2020,1567
2019,937
2018,660
2017,437
2016,342
2015,237
2014,239
2013,154
2012,131
2011,67
2010,69
2009,40
2008,38
2007,42
2006,53
2005,20
2004,25
2003,16
2002,6
2001,6
2000,3
1999,3
1998,4
1997,7
1996,2
1995,2
1994,2
1993,1
1991,3
1989,3
1987,1
1986,3
1985,3
1984,1
1983,2
1981,2
1980,1
1979,1
1972,1
1965,1
1962,2
