Scopus-9308-Analyze-Year

"Your query : (TITLE-ABS-KEY ( ""systematic review"" OR ""systematic evidence review"" OR ""systematic literature review"" ) AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""ENVI"" ) ) )"


Number of results : 9308

"YEAR",
"2022","465"
"2021","2919"
"2020","1901"
"2019","1080"
"2018","778"
"2017","506"
"2016","388"
"2015","270"
"2014","261"
"2013","162"
"2012","139"
"2011","71"
"2010","71"
"2009","41"
"2008","39"
"2007","43"
"2006","52"
"2005","21"
"2004","26"
"2003","16"
"2002","6"
"2001","6"
"2000","3"
"1999","3"
"1998","4"
"1997","7"
"1996","2"
"1995","2"
"1994","2"
"1993","1"
"1991","3"
"1989","3"
"1987","1"
"1986","2"
"1985","3"
"1984","1"
"1983","2"
"1981","3"
"1980","1"
"1979","1"
"1965","1"
"1962","2"
