ï»¿Scopus-231648-Analyze-Year,
,
"Your query : (TITLE-ABS-KEY ( ""systematic review"" OR ""systematic evidence review"" ) AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) ) )",
,
,
Number of results : 248213,
,
YEAR,
2020,34513
2019,28247
2018,24338
2017,23322
2016,20914
2015,18586
2014,16121
2013,13616
2012,10908
2011,9105
2010,6871
2009,6646
2008,5382
2007,6835
2006,7327
2005,5652
2004,3877
2003,1392
2002,1149
2001,883
2000,706
1999,488
1998,384
1997,243
1996,130
1995,74
1994,47
1993,23
1992,10
1991,12
1990,6
1989,12
1988,10
1987,9
1986,7
1985,7
1984,8
1983,9
1982,4
1981,5
1980,10
1979,6
1978,2
1977,4
1976,4
1975,5
1974,4
1973,5
1972,1
1971,1
1969,1
1967,1
1965,1
1954,1
