Scopus-303969-Analyze-Year

"Your query : (TITLE-ABS-KEY ( ""systematic review"" OR ""systematic evidence review"" OR ""systematic literature review"") AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) ) )"


Number of results : 303969

"YEAR",
"2022","4558"
"2021","47140"
"2020","35686"
"2019","28610"
"2018","24808"
"2017","23670"
"2016","21196"
"2015","18896"
"2014","16316"
"2013","13796"
"2012","11090"
"2011","9251"
"2010","6984"
"2009","6733"
"2008","5462"
"2007","6913"
"2006","7373"
"2005","5683"
"2004","3933"
"2003","1438"
"2002","1184"
"2001","921"
"2000","737"
"1999","505"
"1998","402"
"1997","252"
"1996","133"
"1995","77"
"1994","49"
"1993","25"
"1992","10"
"1991","14"
"1990","7"
"1989","12"
"1988","10"
"1987","10"
"1986","7"
"1985","7"
"1984","8"
"1983","9"
"1982","4"
"1981","4"
"1980","10"
"1979","6"
"1978","2"
"1977","4"
"1976","4"
"1975","5"
"1974","4"
"1973","5"
"1972","1"
"1971","1"
"1969","1"
"1967","1"
"1965","1"
"1954","1"
