Scopus-19007-Analyze-Year

"Your query : (TITLE-ABS-KEY ( ""systematic review"" OR ""systematic evidence review"" OR ""systematic literature review"" ) AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""SOCI"" ) ) )"


Number of results : 19007

"YEAR",
"2022","559"
"2021","4670"
"2020","3151"
"2019","2266"
"2018","1827"
"2017","1342"
"2016","1047"
"2015","829"
"2014","657"
"2013","496"
"2012","444"
"2011","291"
"2010","220"
"2009","241"
"2008","174"
"2007","159"
"2006","147"
"2005","121"
"2004","90"
"2003","73"
"2002","30"
"2001","51"
"2000","29"
"1999","14"
"1998","18"
"1997","13"
"1996","6"
"1995","5"
"1994","1"
"1993","2"
"1992","4"
"1991","3"
"1990","1"
"1989","3"
"1987","4"
"1986","3"
"1985","3"
"1984","2"
"1983","1"
"1981","1"
"1980","2"
"1978","2"
"1972","2"
"1968","1"
"1954","1"
"1953","1"
